"","year","cumulative.temp"
"1",1997,587.777777777778
"2",1998,483.888888888889
"3",1999,526.666666666667
"4",2000,998.333333333333
"5",2001,543.888888888889
"6",2002,537.222222222222
"7",2003,541.666666666667
"8",2004,746.666666666667
"9",2005,594.444444444444
"10",2006,541.111111111111
"11",2007,560.555555555556
"12",2008,553.333333333333
"13",2009,522.777777777778
"14",2010,505
"15",2011,553.888888888889
"16",2012,563.333333333333
"17",2013,553.888888888889
"18",2014,527.777777777778
"19",2015,517.222222222222
"20",2016,577.777777777778
"21",2017,596.111111111111
"22",2018,499.444444444444
"23",2019,539.444444444444
"24",2020,507.222222222222
"25",2021,448.333333333333
"26",2022,516.111111111111
