,year,avg.temp,precipitation,humidity,pressure,windspd,max.temp,bloom_doy
1,1997,61.5594633204295,0,66.2234532602041,29.8737327316803,6.9045217940915,93,97
2,1998,63.4762596594907,0,68.9398120916369,29.8890074780655,6.80277140803214,95,91
3,1999,62.3562233309666,0,66.0798055026697,29.8653007036241,7.06136742822717,99,94
4,2000,62.6880830497638,0,68.6530096813263,29.8554571523921,7.31194088808601,99,100
5,2001,62.3381812799304,0,64.4043135655121,29.8592259575097,7.80202090513784,100,96
6,2002,62.7905742765221,0,64.9413933063193,29.8791323507452,7.20467664447694,100,91
7,2003,62.012403478113,0,68.0512803996428,29.8948241617685,7.1056486182818,97,98
8,2004,65.9115174290663,0,65.4841436375498,29.8886248185406,7.01686868221824,100,92
9,2005,62.309643331947,0,64.2421916760605,29.8712283516642,6.80048845579543,100,99
10,2006,63.0526981850788,0,65.992613408226,29.8818539444532,7.01855376106191,100,98
11,2007,64.2732944174019,0,63.1278052588624,29.8831928415432,7.13642125371976,100,97
12,2008,63.5052148479482,0,63.782906426143,29.8861074457684,6.77934828022207,99,95
13,2009,63.5778552894303,0,62.0611684566705,29.8689659363071,7.24477654561892,97,95
14,2010,63.7665165966596,0,59.6390494250191,29.9012745956635,7.12530724904429,100,95
15,2011,63.1080237695434,0,59.0488170607826,29.8961948324872,7.31254358836869,97,99
16,2012,62.5347506642637,0,62.9215319999525,29.8800155345049,7.36885548493582,99,101
17,2013,63.6821358405307,0,58.4959206086929,29.8787259554928,7.32732492064828,102,93
18,2014,62.7103415081222,0,61.0216172488573,29.8952853225516,7.31672000581464,99,94
19,2015,63.9462993547026,0,63.2680684652863,29.8971010606457,6.91173386771787,100,93
20,2016,64.5895780834988,0,60.6897869060905,29.9028549618833,6.89530261648634,100,95
21,2017,63.1508185034257,0,57.9096794428449,29.8895946419361,6.97143598812919,99,99
22,2018,64.1702276662904,0.05,57.9913900675511,29.9024325960896,7.17606699834716,100,89
23,2019,64.6179643938178,0,66.2179305946721,29.8963004491546,7.28949648438632,102,95
24,2020,64.4156711335167,0.1,67.621079535009,29.9101289940734,6.8572140850515,102,92
25,2021,64.5725934272007,0,67.9029704490578,29.9208756467383,6.93990999946781,102,85
26,2022,62.8140678058808,0,66.7814100824815,29.9149865270943,6.5534513657161,99,91
