"","bloom.year","bloom.bloom_doy","cum_heat"
"1",812,92,NA
"2",815,105,NA
"3",831,96,NA
"4",851,108,NA
"5",853,104,NA
"6",864,100,NA
"7",866,106,NA
"8",869,95,NA
"9",889,104,NA
"10",891,109,NA
"11",892,108,NA
"12",894,106,NA
"13",895,104,NA
"14",896,104,NA
"15",902,102,NA
"16",908,98,NA
"17",912,95,NA
"18",913,110,NA
"19",917,95,NA
"20",923,104,NA
"21",926,98,NA
"22",930,97,NA
"23",933,106,NA
"24",941,109,NA
"25",949,107,NA
"26",950,95,NA
"27",955,89,NA
"28",957,112,NA
"29",958,109,NA
"30",959,97,NA
"31",960,101,NA
"32",961,87,NA
"33",963,94,NA
"34",965,104,NA
"35",966,98,NA
"36",967,103,NA
"37",969,98,NA
"38",972,107,NA
"39",974,108,NA
"40",975,101,NA
"41",977,112,NA
"42",979,104,NA
"43",985,94,NA
"44",989,100,NA
"45",991,104,NA
"46",1000,105,NA
"47",1004,117,NA
"48",1006,100,NA
"49",1007,106,NA
"50",1014,115,NA
"51",1016,111,NA
"52",1017,99,NA
"53",1018,113,NA
"54",1019,98,NA
"55",1029,116,NA
"56",1031,97,NA
"57",1032,111,NA
"58",1033,102,NA
"59",1034,96,NA
"60",1036,104,NA
"61",1041,103,NA
"62",1046,103,NA
"63",1048,112,NA
"64",1050,105,NA
"65",1060,108,NA
"66",1061,92,NA
"67",1066,105,NA
"68",1071,113,NA
"69",1073,103,NA
"70",1080,102,NA
"71",1083,96,NA
"72",1084,120,NA
"73",1088,104,NA
"74",1090,105,NA
"75",1093,105,NA
"76",1095,100,NA
"77",1096,96,NA
"78",1098,100,NA
"79",1099,103,NA
"80",1102,104,NA
"81",1104,108,NA
"82",1105,114,NA
"83",1107,105,NA
"84",1111,113,NA
"85",1112,104,NA
"86",1114,100,NA
"87",1117,109,NA
"88",1118,102,NA
"89",1120,104,NA
"90",1123,112,NA
"91",1124,98,NA
"92",1125,111,NA
"93",1126,108,NA
"94",1127,107,NA
"95",1128,111,NA
"96",1129,106,NA
"97",1130,103,NA
"98",1131,103,NA
"99",1134,106,NA
"100",1139,113,NA
"101",1140,103,NA
"102",1141,111,NA
"103",1143,110,NA
"104",1145,107,NA
"105",1151,109,NA
"106",1154,96,NA
"107",1156,90,NA
"108",1159,103,NA
"109",1161,112,NA
"110",1163,112,NA
"111",1164,100,NA
"112",1165,106,NA
"113",1166,95,NA
"114",1167,111,NA
"115",1169,112,NA
"116",1170,113,NA
"117",1172,103,NA
"118",1173,117,NA
"119",1174,112,NA
"120",1175,113,NA
"121",1176,113,NA
"122",1179,103,NA
"123",1180,98,NA
"124",1182,104,NA
"125",1183,101,NA
"126",1184,115,NA
"127",1185,115,NA
"128",1187,104,NA
"129",1188,107,NA
"130",1190,112,NA
"131",1191,106,NA
"132",1194,119,NA
"133",1199,109,NA
"134",1200,104,NA
"135",1201,96,NA
"136",1202,106,NA
"137",1203,105,NA
"138",1204,110,NA
"139",1205,105,NA
"140",1207,104,NA
"141",1210,112,NA
"142",1212,98,NA
"143",1213,107,NA
"144",1214,102,NA
"145",1215,108,NA
"146",1216,101,NA
"147",1219,101,NA
"148",1220,109,NA
"149",1221,99,NA
"150",1223,116,NA
"151",1225,105,NA
"152",1226,106,NA
"153",1227,111,NA
"154",1229,97,NA
"155",1230,102,NA
"156",1231,101,NA
"157",1232,92,NA
"158",1233,105,NA
"159",1235,110,NA
"160",1236,87,NA
"161",1240,106,NA
"162",1244,108,NA
"163",1245,108,NA
"164",1246,98,NA
"165",1247,106,NA
"166",1249,108,NA
"167",1250,116,NA
"168",1251,100,NA
"169",1254,110,NA
"170",1257,94,NA
"171",1259,96,NA
"172",1262,97,NA
"173",1263,120,NA
"174",1264,103,NA
"175",1265,98,NA
"176",1267,105,NA
"177",1268,103,NA
"178",1269,100,NA
"179",1271,100,NA
"180",1275,107,NA
"181",1278,113,NA
"182",1279,101,NA
"183",1280,102,NA
"184",1283,103,NA
"185",1284,102,NA
"186",1285,105,NA
"187",1286,112,NA
"188",1287,110,NA
"189",1288,108,NA
"190",1289,107,NA
"191",1292,107,NA
"192",1294,101,NA
"193",1295,102,NA
"194",1301,95,NA
"195",1302,96,NA
"196",1307,104,NA
"197",1311,94,NA
"198",1312,100,NA
"199",1314,101,NA
"200",1315,111,NA
"201",1316,103,NA
"202",1317,102,NA
"203",1319,116,NA
"204",1321,102,NA
"205",1322,106,NA
