,year,Temp,Prec,Humi,bloom_doy,wspd,pressure
1,1945,45.92702295,0,63.98268418,79,10.79008439,30.02482068
2,1947,42.64261775,0,61.68916063,102,11.25925334,29.94576318
3,1948,42.88507606,0,69.0251078,88,8.772253788,30.12225379
4,1949,46.74002114,0.109333333,38.12081824,88,9.541666667,30.0978267
5,1950,44.76567029,0.087416667,61.33627717,99,10.62752525,30.10115741
6,1951,44.32168478,0.09075,63.72091184,96,10.39539931,30.06757986
7,1952,45.31768775,0.13214876,65.07234399,100,8.287300725,29.99622772
8,1953,46.39728261,0.155583333,62.82394324,86,7.791666667,30.01736434
9,1954,46.01500878,0.082666667,64.15399649,96,9.773814915,30.01118594
10,1955,44.82050121,0.080916667,64.09501812,92,11.54696361,30.0592218
11,1956,43.24053779,0.085950413,64.39393939,97,9.787371134,29.98744845
12,1957,44.63988527,0.086,66.3611413,98,8.582057823,30.07128401
13,1958,41.00905797,0.145166667,63.43355978,108,10.75578704,29.91009645
14,1959,44.43541667,0.08275,59.90741244,96,9.232204861,10.0109375
15,1960,43.35049108,0.092727273,58.99546353,105,9.373809524,10.0047381
16,1961,42.44747886,0.13575,60.83061594,92,6.852355072,10.01182065
17,1962,42.48656401,0.09975,61.25416667,97,8.409364261,10.0257732
18,1963,42.28820954,0.085166667,56.80227959,93,7.741487455,10.02051523
19,1964,44.15241346,0.11785124,56.94461912,102,8.031862745,9.994636438
20,1965,41.54826389,0.088666667,61.21497585,105,8.598015873,10.01273016
21,1966,42.81991947,0.070444444,56.42706162,95,9.629566934,9.488843328
22,1967,44.90587846,0.044819277,56.44339997,96,9.489499389,9.284215965
23,1968,44.52399914,0.032941176,49.36644904,90,9.784086284,8.569333862
24,1969,44.75789556,0.020609756,46.751798,99,8.808793059,9.246559182
25,1970,40.24996981,0.100833333,60.47030495,106,9.498427673,30.03561714
26,1971,41.08808877,0.094583333,55.85240036,98,11.30832224,29.98842188
27,1972,42.85058091,0.11553719,61.02814708,102,10.24232737,30.01233713
