"","year","cumulative.temp"
"1",1945,565.555555555556
"2",1946,1508.88888888889
"3",1947,688.333333333333
"4",1948,624.444444444444
"5",1949,675.555555555556
"6",1950,691.111111111111
"7",1951,690.555555555556
"8",1952,753.333333333333
"9",1953,651.111111111111
"10",1954,800
"11",1955,705.555555555556
"12",1956,771.111111111111
"13",1957,780.555555555556
"14",1958,666.111111111111
"15",1959,807.222222222222
"16",1960,675.555555555555
"17",1961,682.777777777778
"18",1962,621.111111111111
"19",1963,650.555555555555
"20",1964,756.666666666667
"21",1965,742.222222222222
"22",1966,830
"23",1967,932.222222222222
"24",1968,877.222222222222
"25",1969,1098.88888888889
"26",1970,791.111111111111
"27",1971,708.333333333333
"28",1972,759.444444444445
"29",1973,851.111111111111
"30",1974,795.555555555555
"31",1975,696.111111111111
"32",1976,770.555555555555
"33",1977,677.222222222222
"34",1978,687.777777777778
"35",1979,585.555555555556
"36",1980,685
"37",1981,839.444444444444
"38",1982,730.555555555555
"39",1983,777.222222222222
"40",1984,670.555555555556
"41",1985,776.666666666667
"42",1986,621.666666666667
"43",1987,580.555555555556
"44",1988,670
"45",1989,569.444444444445
"46",1990,623.888888888889
"47",1991,738.888888888889
"48",1992,746.111111111111
"49",1993,637.777777777778
"50",1994,676.666666666667
"51",1995,646.111111111111
"52",1996,606.666666666667
"53",1997,658.888888888889
"54",1998,564.444444444444
"55",1999,731.666666666667
"56",2000,542.777777777778
"57",2001,725.555555555556
"58",2002,815.555555555555
"59",2003,581.111111111111
"60",2004,655
"61",2005,739.444444444445
"62",2006,645
"63",2007,551.111111111111
"64",2008,668.888888888889
"65",2009,648.333333333333
"66",2010,588.888888888889
"67",2011,656.666666666667
"68",2012,720
"69",2013,717.222222222222
"70",2014,733.333333333333
"71",2015,677.222222222222
"72",2016,678.888888888889
"73",2017,705
"74",2018,742.222222222222
"75",2019,669.444444444444
"76",2020,660.555555555556
"77",2021,613.333333333333
