,washington.bloom.year,washington.bloom_doy,cum_heat
1,1921,79,NA
2,1922,97,NA
3,1923,99,NA
4,1924,104,NA
5,1925,86,NA
6,1926,101,NA
7,1927,79,NA
8,1928,99,NA
9,1929,90,NA
10,1930,91,NA
11,1931,101,NA
12,1932,106,NA
13,1933,99,NA
14,1934,105,NA
15,1935,91,NA
16,1936,98,NA
17,1937,104,NA
18,1938,84,NA
19,1939,89,NA
20,1940,104,NA
21,1941,102,NA
22,1942,95,NA
23,1943,94,NA
24,1944,100,NA
25,1945,79,3056.541667
26,1946,82,4940.425725
27,1947,102,4095.911232
28,1948,88,3331.833333
29,1949,88,3845
30,1950,99,4271.958333
31,1951,96,3956.491667
32,1952,100,4247.945652
33,1953,86,3697.083333
34,1954,96,4007.735837
35,1955,92,3735.594203
36,1956,97,3952.833333
37,1957,98,3996.166667
38,1958,108,4157.333333
39,1959,96,3897.416667
40,1960,105,4158.708333
41,1961,92,3612.458333
42,1962,97,3778.208333
43,1963,93,3539.666667
44,1964,102,4228.833333
45,1965,105,4152.083333
46,1966,95,4152.869676
47,1967,96,4521.649451
48,1968,90,4082.001465
49,1969,99,4825.455128
50,1970,106,3989.333333
51,1971,98,3674.32971
52,1972,102,4080.480072
53,1973,101,4037.98425
54,1974,93,3759.856759
55,1975,93,3656.347138
56,1976,83,3249.048633
57,1977,85,2938.647728
58,1978,102,3478.961815
59,1979,92,3264.246089
60,1980,97,3575.608495
61,1981,93,3648.169873
62,1982,97,3245.824661
63,1983,97,3675.734002
64,1984,94,3298.774499
65,1985,97,3598.918028
66,1986,92,3249.253183
67,1987,87,3158.561278
68,1988,91,3206.115434
69,1989,88,3118.359429
70,1990,74,3085.344021
71,1991,88,3431.033129
72,1992,98,3589.297707
73,1993,101,3454.63544
74,1994,95,3055.822965
75,1995,92,3355.801164
76,1996,95,3144.88796
77,1997,85,3570.908611
78,1998,86,3700.580245
79,1999,95,3984.500022
80,2000,77,3141.01114
81,2001,96,3877.804558
82,2002,92,4062.548381
83,2003,92,3424.579308
84,2004,91,3542.940907
85,2005,99,4018.674687
86,2006,89,3822.147945
87,2007,91,3644.410592
88,2008,86,3688.024411
89,2009,91,3509.367993
90,2010,90,3618.471096
91,2011,88,3509.866612
92,2012,80,3634.952348
93,2013,99,4122.743339
94,2014,100,3904.355459
95,2015,100,3893.480703
96,2016,85,3546.236494
97,2017,84,3722.245569
98,2018,95,3925.279589
99,2019,91,3793.104713
100,2020,80,3633.267923
101,2021,87,3626.646095
