Date,Average Temperature,Total Precipitation(in)
19450101,44.708333333333336,0
19450102,23.416666666666668,0
19450103,30.541666666666668,0
19450104,42.916666666666664,0
19450105,34.625,0
19450106,29.333333333333332,0
19450107,28.583333333333332,0
19450108,31.5,0
19450109,33.083333333333336,0
19450110,22,0
19450111,24.125,0
19450112,33.041666666666664,0
19450113,38.583333333333336,0
19450114,32.666666666666664,0
19450115,32.125,0
19450116,33.625,0
19450117,32.25,0
19450118,29.333333333333332,0
19450119,32.791666666666664,0
19450120,32.125,0
19450121,29.208333333333332,0
19450122,34.375,0
19450123,36.791666666666664,0
19450124,33.333333333333336,0
19450125,18.291666666666668,0
19450126,20.625,0
19450127,26.625,0
19450128,34.041666666666664,0
19450129,33.625,0
19450130,30.416666666666668,0
19450131,20.875,0
19450201,22.583333333333332,0
19450202,25.416666666666668,0
19450203,27.166666666666668,0
19450204,28.5,0
19450205,37.083333333333336,0
19450206,31.958333333333332,0
19450207,32.708333333333336,0
19450208,36.083333333333336,0
19450209,40.458333333333336,0
19450210,47,0
19450211,45.583333333333336,0
19450212,41.458333333333336,0
19450213,38.333333333333336,0
19450214,38.125,0
19450215,44.875,0
19450216,53.75,0
19450217,35.333333333333336,0
19450218,32.333333333333336,0
19450219,26.333333333333332,0
19450220,30.625,0
19450221,34.958333333333336,0
19450222,43.333333333333336,0
19450223,46.625,0
19450224,44.416666666666664,0
19450225,45.875,0
19450226,47.666666666666664,0
19450227,48.166666666666664,0
19450228,31.875,0
19450301,39.25,0
19450302,43.5,0
19450303,57.791666666666664,0
19450304,45,0
19450305,38.625,0
19450306,51.375,0
19450307,44.333333333333336,0
19450308,40.583333333333336,0
19450309,41.583333333333336,0
19450310,44.875,0
19450311,41,0
19450312,45.625,0
19450313,47.416666666666664,0
19450314,51.583333333333336,0
19450315,59.375,0
19450316,71.625,0
19450317,70.04166666666667,0
19450318,63.583333333333336,0
19450319,67.75,0
19450320,73.41666666666667,0
19450321,63.833333333333336,0
19450322,43.833333333333336,0
19450323,54.375,0
19450324,60.541666666666664,0
19450325,57.583333333333336,0
19450326,58.291666666666664,0
19450327,68.29166666666667,0
19450328,69.66666666666667,0
19450329,73.79166666666667,0
19450330,70.41666666666667,0
19450331,66.66666666666667,0
19450401,61.833333333333336,0
19450402,65.70833333333333,0
19450403,68.83333333333333,0
19450404,66.25,0
19450405,55.208333333333336,0
19450406,46.875,0
19450407,51.166666666666664,0
19450408,55.666666666666664,0
19450409,60.75,0
19450410,61.625,0
19450411,59.833333333333336,0
19450412,66.20833333333333,0
19450413,71.375,0
19450414,71.41666666666667,0
19450415,55.666666666666664,0
19450416,53.291666666666664,0
19450417,63.75,0
19450418,60.458333333333336,0
19450419,52.25,0
19450420,54.041666666666664,0
19450421,58.82608695652174,0
19450422,51.291666666666664,0
19450423,53.125,0
19450424,56.916666666666664,0
19450425,62.625,0
19450426,67.25,0
19450427,54.666666666666664,0
19450428,51.833333333333336,0
19450429,53.458333333333336,0
19450430,55.208333333333336,0
19450501,50.541666666666664,0
19450502,50.291666666666664,0
19450503,50.625,0
19450504,52.416666666666664,0
19450505,52.25,0
19450506,52.375,0
19450507,61.75,0
19450508,63.583333333333336,0
19450509,59.875,0
19450510,56.708333333333336,0
19450511,52.958333333333336,0
19450512,61.041666666666664,0
19450513,68.83333333333333,0
19450514,69.04166666666667,0
19450515,73.95833333333333,0
19450516,76.70833333333333,0
19450517,72.33333333333333,0
19450518,68.45833333333333,0
19450519,61.5,0
19450520,61.708333333333336,0
19450521,69.54166666666667,0
19450522,74.08333333333333,0
19450523,67.79166666666667,0
19450524,62.75,0
19450525,61.5,0
19450526,61.833333333333336,0
19450527,62.625,0
19450528,71.20833333333333,0
19450529,72.625,0
19450530,68.83333333333333,0
19450531,70.04166666666667,0
19450601,64.20833333333333,0
19450602,66.41666666666667,0
19450603,69.25,0
19450604,60,0
19450605,56.916666666666664,0
